CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,Description,Prerequisites,Division Requirement
88,ENVS 113M 2,Apiculture: Spring Practices,2,WF 1:05-2:30 PM in FSH-211,Donald McClelland,"Undoubtedly, honey was the first concentrated sugar product known to humankind, and
                              the practice of raising bees dates back thousands of years. Honey bees are social
                              animals with a division of labor; a healthy hive has a single queen and as many as
                              60,000 workers, all of which are female. In this course, students study the biology
                              of honey bees, their cultural importance, and hive management for the production of
                              honey, beeswax, and other products. We emphasize spring practices including building
                              up overwintered colonies, splitting colonies, management to reduce swarming, capturing
                              swarms, and building and repairing equipment. We also study the honey bees' agro-ecological
                              role by examining the pollination services provided to the Simon’s Rock Community
                              Garden. A substantial portion of class will be spent in the Simon's Rock Apiary working
                              the bees.",No prerequisites.,"Science, Math, and Computing"
174,ENVS 218/318M 2,Conservation Biology,3,TR 1:05-2:30 PM and T 2:40-5:35 PM in FSH-211,Sarah Snyder,"This course will cover the history of conservation biology and provide an overview
                              of global conservation issues including endangered species, invasive species, overharvesting,
                              habitat modification, ecosystem functioning, climate change, and biodiversity. ​Students
                              will evaluate the success of strategies managers use to protect and restore species
                              and ecosystems and discuss the challenges associated with implementing conservation
                              practices. Each student will write a paper and give a presentation on a conservation
                              topic of interest. Students will participate in a local conservation initiative through
                              service learning. Prerequisites for the 300-level: Any 200-level ENVS or BIO course.
                              Prerequisites for the 200-level: Any 100-level ENVS or BIO course.",,"Science, Math, and Computing"
22,GEOG 213/313,WCP World Political Ecology: Introduction to Transdisciplinary Earth Studies,3/4,TR 9:00-10:25 AM in LIE-01,Christopher Coggins,"What is the human terrestrial condition? Political Ecology focuses on that question
                              by engaging with the political, economic, and cosmological dimensions of human-environment
                              relations through time. As an interdisciplinary and transdisciplinary field that draws
                              from geography, anthropology, sociology, political theory, and environmental studies,
                              it has roots in cultural ecology, critical theory, and Marxist political economy.
                              Practitioners of political ecology analyze the ways that power shapes, and is shaped
                              by, the definition and utilization of natural resources across multiple networks and
                              nodes in the modern world system. Since the 1990s, the field has drawn theoretical
                              perspectives from post-structuralism, postcolonial studies, feminist theory, critical
                              race theory, urban studies, queer theory, science and technology studies (STS), post-humanism,
                              Anthropocene studies, and the Rights of Nature (RON) movement. This course adopts
                              a world regional approach to the study of precolonial cultural ecologies and the effects
                              of colonialism, industrial capitalism, and command economies on contemporary humanenvironment
                              relations. Our focal point is the contested terrain where political, economic, and
                              cultural forces articulate with “nature,” local resource management, environmental
                              knowledge, ecological adaptation, and property regimes. Through the study of competing
                              environmental ontologies, epistemologies, and institutional practices, we search for
                              alternative visions of ""development,"" ""regional integration,"" ""urban-rural"" dichotomies,
                              ""core-periphery"" dynamics, ""stewardship,"" and ""sustainability.""",,Social Studies
12,ANTH 212,WCP Anthropology Goes to the Movies,3,MWF 1:35-2:30 PM in CL3-14,Nancy Bonvillain,"This course focuses on the ways that Indigenous filmmakers (directors and writers)
                              explore Indigenous lives, voices, and narratives.  Through viewing films and reading
                              texts about visual representation, we will consider questions such as: How are Indigenous
                              and other non-Western peoples depicted?   From whose points of view are the stories
                              told?  Whose voices dominate the film's narrative and perspective?  We will view films
                              from Indigenous filmmakers from many countries and continents, including Australia,
                              New Zealand, Africa, Native North and South America, India, China, and the Philippines.
                              The course will also consider how social and political issues involving Indigenous
                              peoples are presented.     Prerequisite: one course in social studies or film.",,Social Studies
134,FILM 210,Intermediate Film and Media Production,3,WF 2:40-4:05 PM in DAC-001,Dien Vo,"This hands-on, intermediate-level course is designed for students with some experience
                              in film and video production who'd like in-depth practice of fully manual camera operation,
                              shot composition, understanding lenses and filters, shooting in raw and flat video,
                              4K + 6K workflows, camera stabilization and movement, lighting (field and location),
                              dual system recording, manually operating sound recorders and various mic types, slating
                              and logging, and DIT -- all done with consideration for your specific project’s story
                              and aesthetics. Students will deliver a number of exercises and produce one short
                              film. Pre-requisites: FILM 110 or permission of instructor.",,Arts
132,FILM 231/331,WCP Avant-Garde and Arthouse Cinema,3/4,T 4:15-6:15 PM in DAC-125 and F 4:15-6:15 PM in DAC-001,Dien Vo,"This course focuses on a number of representative works of avant-garde and arthouse
                              cinema. We broadly cover the first wave of cinematic modernism emerging after World
                              War I, the French New Wave following World War II, and the development of international
                              ""New Waves"" afterwards. Additionally, we examine the social and historical concerns
                              many of these films responded to, including their relationships with modernist movements
                              in other art forms. Discussions and screenings take place in every class. Works and
                              auteurs covered include Kieslowski, Resnais, Fellini, Wertmuller, Teshigahara, Akerman,
                              Bergman, and others. Prerequisite: Any one FILM course OR any literature course OR
                              any course in art history / art appreciation.",,Arts
123,FOOD 102M 1,Food Studies: A First Course,2,MW 2:40-4:05 PM in LIE-01,Maryann Tebben,"What is a superfood? Plant-based or Paleo? How do you define curry? Are GMOs always
                              bad? Is sushi authentic outside of Japan? What about ramen? Food Studies: A First
                              Course invites students to consider the why and how of what we eat. Students will
                              engage with food by writing and reading about it, and by making and eating it. We
                              will explore major concepts in food studies such as food production and consumption,
                              ethical practices, identity and cultural representation, technology, nutrition, local
                              food movements, and globalization. Readings and films include works by Willa Zhen
                              (professor at the Culinary Institute of America), David Gelb, and Samin Nosrat, among
                              others. Hands-on activities will be a regular part of the course. Assignments include
                              writing the history of a well-known dish, experimenting with food preparation, and
                              making a case for a controversial food or diet. The course has a low course fee for
                              supplies.",,Social Studies
176,FOOD 207AM 1,"Provisioning: Foodsheds and Food Sovereignty in Montserrat (Montserrat study abroad
                              students only)",2,MW 2:40-4:05 PM in -,Christopher Coggins and Maryann Tebben,"This course examines historical and current trends in local food production in Montserrat.
                              In mod 1, the course will highlight how Caribbean plantation economies shaped the
                              land and marine resources that supplied enslaved workers, indentured laborers, smallholders,
                              and large landowners. These practices still influence land use, fisheries, and local
                              markets today. The course includes weekly fieldwork in Montserrat. The first module
                              will be followed by a stand-alone course, a study of small-scale organic farming in
                              the Berkshires. Students may take these courses as a full-semester sequence or as
                              individual courses. Each course will culminate with a written final project.",No prerequisites.,Social Studies
177,FOOD 207BM 2,Provisioning: Foodsheds and Food Sovereignty in the Berkshires,2,MW 2:40-4:05 PM in LIE-01,Maryann Tebben and Christopher Coggins,"This course will consist of a study of small-scale organic farming in the Berkshires,
                              focusing on fair labor practices, low-carbon emissions, and food justice. Students
                              will explore the particular foodshed of the Berkshire region of Massachusetts with
                              classroom discussion of current topics related to sustainable agriculture and food
                              consumption and an experiential component featuring demonstrations and hands-on workshops
                              with Berkshire farmers. We will examine sustainable food and “farm to table” eating
                              from multiple perspectives: consumers, chefs/restaurants, and farmers/producers. This
                              course builds on a module focusing on food provisioning in Montserrat, with fieldwork
                              done by students in the Montserrat study away program. Students may take these courses
                              as a full-semester sequence or as individual courses. Each course will culminate with
                              a written final project.",No prerequisites.,Social Studies
249,ARTH 236/336,"CP Trans Aesthetics, Trans Critique: changing expressions of gender, sex and sexuality",3/4,MW 1:05-2:30 PM in DAC-025,Zoey Lubitz,"Trans people figure prominently in histories of the 20th century, making appearances
                              in bars, clinics, courtrooms, and entertainment media, however, the spectacle and
                              stakes of trans visibility in the US have never been more dramatized than in the media
                              and politics of today. This course analyzes art, music, literature, and film addressing
                              topics related to trans aesthetics and asks, what are the categories, judgments, and
                              strategies that define and are defined by trans people, trans cultural production,
                              and trans social practices? How do race, class, nationality, ability and other forms
                              of subjectification intersect or overdetermine these areas? This course cuts across
                              borders and times, both national and historical, as well as in the disciplines of
                              visual studies, media, history of science, art history, legal scholarship, and literature.","a 100-level art history course or suitable 100-level course in a humanities
                              discipline. To take the course at the 300-level, another 200-level theory or reading
                              heavy course in the humanities is required.",Arts
11,LING 218,W Language & Gender,3,MWF 11:10-12:05 PM in CL3-14,Nancy Bonvillain,"This course examines relationships between language and gender.  Specifically, how
                              and to what extent are gender differences manifested in language?  Do women and men
                              employ alternatives of pronunciation, vocabulary and grammatical structure?  Are men's
                              and women's conversational strategies significantly different?  Do languages encode
                              divergent cultural messages about women and men through the ways in which they label
                              or talk about people?  Although the majority of data considered is derived from English,
                              linguistic and cultural evidence from other societies will also be explored.",One course in social studies or linguistics.,Language and Literature
49,LIT 309,Queer Theory,4,TR 1:05-2:30 PM in LIE-02,Daniel Giraldo-Wonders,"Masculinity, Femininity, Gender, Performativity, Normativity, Power, Queer... How
                              can we make sense of a set of words whose meaning is constantly changing? How can
                              we understand a fluid term such as queer that functions as an umbrella for numerous
                              expressions of identity? What are the preconceptions that QT problematizes? What are
                              the foundational ideas that form QT? How did these ideas become part of the current
                              field of study? How can we assess the applicability of these ideas to western and
                              non-western societies? This course will undertake these doubts—and others—
                              through key texts produced before and after the birth of Queer Studies as an academic
                              discipline. This course will also approach these texts within their own historical
                              contexts, and encourage students to adopt a critical position to the texts based on
                              their own social and personal experiences.","At least one 200 level course
                              on Literature or Social Studies",Language and Literature
22,GEOG 213/313,WCP World Political Ecology: Introduction to Transdisciplinary Earth Studies,3/4,TR 9:00-10:25 AM in LIE-01,Christopher Coggins,"What is the human terrestrial condition? Political Ecology focuses on that question
                              by engaging with the political, economic, and cosmological dimensions of human-environment
                              relations through time. As an interdisciplinary and transdisciplinary field that draws
                              from geography, anthropology, sociology, political theory, and environmental studies,
                              it has roots in cultural ecology, critical theory, and Marxist political economy.
                              Practitioners of political ecology analyze the ways that power shapes, and is shaped
                              by, the definition and utilization of natural resources across multiple networks and
                              nodes in the modern world system. Since the 1990s, the field has drawn theoretical
                              perspectives from post-structuralism, postcolonial studies, feminist theory, critical
                              race theory, urban studies, queer theory, science and technology studies (STS), post-humanism,
                              Anthropocene studies, and the Rights of Nature (RON) movement. This course adopts
                              a world regional approach to the study of precolonial cultural ecologies and the effects
                              of colonialism, industrial capitalism, and command economies on contemporary humanenvironment
                              relations. Our focal point is the contested terrain where political, economic, and
                              cultural forces articulate with “nature,” local resource management, environmental
                              knowledge, ecological adaptation, and property regimes. Through the study of competing
                              environmental ontologies, epistemologies, and institutional practices, we search for
                              alternative visions of ""development,"" ""regional integration,"" ""urban-rural"" dichotomies,
                              ""core-periphery"" dynamics, ""stewardship,"" and ""sustainability.""",,Social Studies
246,HIST 130,Punk Rock: Music and its Discontents in America and the World,3,MW 2:40-4:05 PM in CL3-11,Justin Jackson,"""Punk"" changed the world -- or did it? This course examines from an interdisciplinary
                              perspective a music and aesthetic -- punk -- which emerged from rock and roll in postwar
                              England and America, and is coterminous with the genesis and life of Simon’s Rock
                              itself. Integrating the history of this peculiar genre with the study of music, anthropology,
                              sociology, and cultural studies, among other fields, this course critically reviews
                              the origins, nature, and impact of punk, from medieval Europe to the present, by posing
                              a series of questions: Is punk a form of music, or more than that -- a politics, a
                              social movement, a philosophy? In what ways is punk a unique cultural form, or does
                              it share features with other modern phenomena -- from folk and blues and political
                              and social deviance to post-modernism and dystopian science fiction? What developments
                              in western and world society did punk respond to, and affect -- popular music, post-scarcity
                              affluence, youth subcultures, the Cold War, identitarian politics, and neoliberalism?
                              This course includes lectures incorporating insights from assigned readings in various
                              disciplines and sources, including oral histories, as well as musical recordings,
                              documentary and future films, and visual and digital art. Students are expected to
                              read assigned readings and be ready to discuss them in class, respond to these and
                              lectures in multi-media forms, take a midterm and final exam, and offer their own
                              final research project culminating in a presentation on a punk musician, band, or
                              artist, or a punk ""scene"" within a particular locale, region, or nation.",,Social Studies
180,HIST 150,American Revolutions: The Nation's Unfinished Promise,3,MW 6:05-7:30 PM in DAC-001,Justin Jackson,"What was the American Revolution, why did it happen, what did it change, and what
                              did it mean for Americans and the world--and what does it mean (or should it mean)
                              to us today? The history course surveys the origins, evolution, and effects of the
                              Revolution in its own time by relating the local history of the Revolution in the
                              Berkshires to events beyond as well as subsequent struggles over memory and justice
                              up to our own time. From conflict over economic resources and political rights to
                              social equality and cultural recognition, the Revolution as a fight for liberty continues
                              to inspire and ignite debate over the unfinished promise of these United States. This
                              course combines interactive lectures and readings of primary sources regarding the
                              Revolution in the Berkshires with visits to local museums, historical sites, and events
                              marking the Revolution’s 250th anniversary to prompt critical thinking about relations
                              between historical memory and social justice.",No prerequisites.,Social Studies
203,HIST 249/349,CP Cuba's Revolutions: Cuba and U.S.-Cuban Relations,3/4,MW 1:05-2:30 PM in LEC-LC,Justin Jackson,"This introductory survey course reviews the essential history of Cuba's colonial and
                              post-colonial history, with a focus on the late 18th century to the present. Through
                              the reading of primary and secondary sources, students will learn about major developments
                              in Cuban history, from the spread of sugar plantations and slavery and the abolition
                              of slavery to wars for independence and the formation of the Cuban nation and national
                              identity. Other topics include: the formation of a neo-colonial republic and growing
                              U.S. hegemony over Cuba's politics, economy, and culture; the rise of the Batista
                              dictatorship, the Cold War, and the revolution led by Fidel Castro; the revolutionary
                              project in the 1960s and 1970s, and U.S. reaction against it; the conditions of women,
                              Afro-Cubans, and artists in the Revolution; the fall of the USSR and the ""Special
                              Period""; and reforms in the twenty-first century.","Seminar I. History
                              110: Introduction to History, and/or History 147: Introduction to U.S. History, recommended.",Social Studies
196,HIST 258,CP Africa in World History,3,MW 2:40-4:05 PM in CL3-09,Carla Stephens,"Often in the media and casual conversation, people in the United States will discuss
                              something, often negative, happening in ""Africa."" In this course, students will learn
                              that such discussions are, at best, imprecise, and rooted in a Eurocentric perspective
                              and white supremacist tradition. Africa is not a country. It is the second largest
                              continent in the world and contains a remarkable array of languages, societies, and
                              peoples. Africa is not an isolated place on the periphery of the world, but has been
                              integral to global developments since ancient times. Through maps, literature, and
                              other texts, students will examine the establishment, impact, and overthrow of European
                              colonial power in a sample of former British (Kenya & Zimbabwe), French (Algeria),
                              and Portuguese (Mozambique) colonies. In our exploration, we will touch on other African
                              countries.",No prerequisites.,Social Studies
129,LING 105M 1,English Etymology,2,MW 2:40-4:05 PM in CL3-10,Colette van Kerckvoorde,"Looking at English vocabulary, we would hardly believe that English is a Germanic
                              language: 60% of our vocabulary is derived from Latin and Greek. Perhaps more strikingly,
                              90% of the words used in the natural sciences have classical origins. Using a textbook
                              on the classical roots of English, students will focus on frequently-used Latin roots,
                              prefixes, and suffixes and increase their vocabulary in the fields of medicine, politics,
                              government, psychology, the arts, etc., while improving their comprehension of written
                              English. No prior knowledge of Latin required.",,Language and Literature
11,LING 218,W Language & Gender,3,MWF 11:10-12:05 PM in CL3-14,Nancy Bonvillain,"This course examines relationships between language and gender.  Specifically, how
                              and to what extent are gender differences manifested in language?  Do women and men
                              employ alternatives of pronunciation, vocabulary and grammatical structure?  Are men's
                              and women's conversational strategies significantly different?  Do languages encode
                              divergent cultural messages about women and men through the ways in which they label
                              or talk about people?  Although the majority of data considered is derived from English,
                              linguistic and cultural evidence from other societies will also be explored.",One course in social studies or linguistics.,Language and Literature
184,LIT 229/329,Modernisms,3/4,MW 1:05-2:30 PM in CL3-13,Fiona Wilson,"Recent accounts of the explosion of literary experiment in the early twentieth century
                              emphasize the importance of the local: less Modernism, than Modernisms. This course
                              looks at how this model reorients tensions between “center” and “margin” in Modernist
                              writing. How did a colonial backwater like pre-independence Dublin become a literary
                              powerhouse? How did the work of women writers, such as Virginia Woolf and Gertrude
                              Stein, disrupt existing narratives about gender and sexuality? What happens to standard
                              readings of American Modernism if we put the Harlem Renaissance at the very center
                              of this movement? Questions of this kind merge aesthetic concerns with the volatile
                              politics of the 1920s and 1930s. Possible topics of discussion: jazz, war, futurism,
                              aestheticism, fascism, anti-fascism, anti-Semitism, the Great Migration, the “Racial
                              Mountain,” nationalism, cosmopolitanism, imperialism, psychoanalysis, eugenics, feminism,
                              technologies of mass production, and, of course, literary experiment. This seminar
                              can be taken at the 200 or 300 level.","For 300 level, at least one 200
                              level LIT class; For 200 level, at least one 100 level LIT class and by permission
                              of the instructor.",Language and Literature
200,LIT 240M 2,"""Siege"": Ecocriticism and Mountaineering Literature",2,TR 10:35-12:00 PM in CL3-12,Jeff Walton,"Mountains captivate the imagination, inspiring awe, reverence, fear, determination...
                              In many cultures, mountains are viewed as untamed, sacred places worthy of respect
                              and worship, while in others, as remote, perilous places waiting to be conquered.
                              Mountaineering (specifically, high altitude mountaineering) embodies an inherent tension
                              between these competing worldviews; the literature about mountaineering illustrates
                              that tension while suggesting something significant about the precarious state of
                              the world. Through an ""ecocritical reading"" (an interdisciplinary critical analysis
                              of how literature presents the relationship between people and nature in order to
                              posit solutions to environmental problems) of mountaineering literature, students
                              will contend with big questions about the human condition, conflicting worldviews,
                              climate change, resilience, and our shared future in the Anthropocene. They will also
                              consider how this ecocritical reading might inform individual and collective attitudes
                              and actions. Primarily a reading course, an indoor rock-climbing session and 1 or
                              2 field trips are included.",,Language and Literature
186,LIT 277,"CP Navigating Global Conflict Zones:Exploring Anthropology,Psychology&Literature Perspectives
                              (OSUN)",3,MW 10:05-11:30 AM in CL3-09,Felix Kaputu,"This interdisciplinary course comprehensively explores global conflict zones through
                              anthropology, psychology, and literature. Understanding conflicts’ multifaceted dimensions
                              is crucial for informed engagement in an era marked by geopolitical tensions. The
                              course offers a holistic perspective on the human experience in strife areas, drawing
                              on literature, psychological analyses, and anthropological studies. Students engage
                              with literary works, psychological theories, and anthropological case studies to understand
                              narratives in conflict zones. Topics include conflict representation in literature,
                              psychological impacts, and cultural dimensions. By examining diverse voices, students
                              gain nuanced insights into global conflict complexities. Students develop analytical
                              skills and a holistic understanding of human experience in conflict areas through
                              readings, discussions, and assignments. Ideal for international relations, cultural
                              studies, psychology, and literature students, the course offers an interdisciplinary
                              perspective on global conflict challenges and opportunities. No Prerequisite.",,Language and Literature
47,LIT 281M 1,Rediscovering Les Misérables,2,TR 2:40-4:05 PM in CL3-14,David Franco Arabia,"In this reading-intensive mod, we will study one of the world's most acclaimed novels,
                              Victor Hugo's Les Misérables (1862). We will closely read the original novel in its
                              entirety with the hopes of understanding --and certainly discussing-- what about this
                              story speaks to people across centuries and cultural frontiers. Why has Les Misérables
                              inspired over 40 film adaptations since 1897, shortly after cinema as we know it was
                              born? Why is it one of the longest-running Broadway musicals? We will examine the
                              novel’s structure and literary techniques, and, drawing upon this formal analysis,
                              we will try to unravel its thematic complexities. We will thus explore the manner
                              in which the novel treats a series of large social issues that persist into the present,
                              such as the consequences of income inequality, sexual violence against women, police
                              violence, social redemption, spiritual salvation, and how best to approach social
                              revolution. Comparing the novel to some of its modern screen adaptations will be another
                              way for us to better grasp its uniqueness. Lastly, the historical and realist dimensions
                              of the novel will allow us to go on a journey through the architecture and history
                              of Paris. This course will be taught in English. Students with advanced proficiency
                              in French are welcome to read the book in its original language. All written assignments
                              are due in English.",No prerequisites.,Language and Literature
201,LIT 288/388,Fiction Workshop,3/4,MW 10:05-11:30 AM in CL1-02,Brendan Mathews,"For students who have some experience in writing short fiction and want to give and
                              receive helpful criticism in a workshop atmosphere, this course combines structure
                              and freedom: structure in the form of assigned exercises drawing attention to the
                              elements and techniques of fiction and freedom in the form of longer, independently
                              conceived stories. Some time is spent each week discussing short fiction by contemporary
                              writers as well as that of students in the workshop, with the goal of sharpening our
                              abilities as writers, editors, and critics. Admission to the course is selective;
                              candidates must submit samples of their writing to the
                              instructor before registration. Prerequisite: Literature 150 or permission of the
                              instructor.",,Language and Literature
49,LIT 309,Queer Theory,4,TR 1:05-2:30 PM in LIE-02,Daniel Giraldo-Wonders,"Masculinity, Femininity, Gender, Performativity, Normativity, Power, Queer... How
                              can we make sense of a set of words whose meaning is constantly changing? How can
                              we understand a fluid term such as queer that functions as an umbrella for numerous
                              expressions of identity? What are the preconceptions that QT problematizes? What are
                              the foundational ideas that form QT? How did these ideas become part of the current
                              field of study? How can we assess the applicability of these ideas to western and
                              non-western societies? This course will undertake these doubts—and others—
                              through key texts produced before and after the birth of Queer Studies as an academic
                              discipline. This course will also approach these texts within their own historical
                              contexts, and encourage students to adopt a critical position to the texts based on
                              their own social and personal experiences.","At least one 200 level course
                              on Literature or Social Studies",Language and Literature
51,CMPT 252,Discrete Mathematics,3,MWF 10:05-11:00 AM in CL1-03,Miha Habic,"The mathematical foundations of computer science, including propositional and predicate
                              logic, sets, algorithm growth and asymptotic analysis, mathematical induction and
                              recursion, permutations and combinations, discrete probability, solving recurrences,
                              order relations, graphs, and trees. This is a required course for CMPT 243 (Algorithms
                              and Data Structures). Prerequisite: A 200-level Math course.",,"Science, Math, and Computing"
18,MATH 109 A,Elementary Functions,3,MWF 9:00-9:55 AM in CL1-01,Jack Burkart,"A transition from secondary school to college-level mathematics in both style and
                              content, this course explores the elementary functions. Topics include polynomial,
                              exponential, logarithmic, and trigonometric functions; graphing; inequalities; data
                              analysis; and the use of a graphing calculator and/or computer. The course meets the
                              College's mathematics requirement and also prepares students for calculus. Prerequisite:
                              Mathematics 101, or at least two years of high school mathematics and adequate performance
                              on the mathematics placement exam.",,"Science, Math, and Computing"
19,MATH 109 B,Elementary Functions,3,MWF 10:05-11:00 AM in CL1-01,Jack Burkart,"A transition from secondary school to college-level mathematics in both style and
                              content, this course explores the elementary functions. Topics include polynomial,
                              exponential, logarithmic, and trigonometric functions; graphing; inequalities; data
                              analysis; and the use of a graphing calculator and/or computer. The course meets the
                              College's mathematics requirement and also prepares students for calculus. Prerequisite:
                              Mathematics 101, or at least two years of high school mathematics and adequate performance
                              on the mathematics placement exam.",,"Science, Math, and Computing"
67,MATH 110,Introduction to Statistics,3,MWF 10:05-11:00 AM in CL3-10,Kenneth Knox,"This course offers an introduction to statistical methods for the collection, organization,
                              analysis, and interpretation of numerical data. Topics include probability, binomial
                              and normal distributions, sampling, hypothesis testing, confidence limits, regression
                              and correlation, and introductory analysis of variance. The course is oriented toward
                              the increasingly important applications of statistics in the social sciences. Prerequisite:
                              Adequate performance on the mathematics placement exam.",,"Science, Math, and Computing"
144,MATH 113,Logic,3,MWF 2:40-3:35 PM in CL1-01,Kameryn Williams,"Logic clarifies the structure of everyday and mathematical reasoning. At the same
                              time, it brings with it paradox and controversy. We will explore sentential, predicate,
                              multi-valued, modal, and paraconsistent logic as well as elementary set theory, informal
                              argumentation, debating, basic probability theory, formal linguistics, infinity, paradoxes,
                              and some philosophical implications of logical theory.",No prerequisites.,"Science, Math, and Computing"
113,MATH 210,Calculus I,3,MWF 9:00-9:55 AM in CL1-02,Robert Putz,"A course in differential and integral calculus in one variable. Topics include an
                              introduction to limits and continuity, the derivative and its applications to max-min
                              and related rate problems, the mean value theorem, the definite integral, and the
                              Fundamental Theorem of Calculus. Prerequisite: Mathematics 109 or adequate performance
                              on the mathematics placement exam.",,"Science, Math, and Computing"
142,MATH 211 A,Calculus II,3,MWF 9:00-9:55 AM in FSH-201,Kameryn Williams,"This course is a continuation of Calculus I. Topics include techniques of integration,
                              numerical integration, applications of the definite integral, Taylor approximations,
                              infinite series, and an introduction to differential equations. Prerequisite: Math
                              210.",,"Science, Math, and Computing"
143,MATH 211 B,Calculus II,3,MWF 10:05-11:00 AM in FSH-201,Kameryn Williams,"This course is a continuation of Calculus I. Topics include techniques of integration,
                              numerical integration, applications of the definite integral, Taylor approximations,
                              infinite series, and an introduction to differential equations. Prerequisite: Math
                              210.",,"Science, Math, and Computing"
98,MATH 220,Linear Algebra,3,MWF 11:10-12:05 PM in CL1-04,Kaethe Minden,"This course deals with linear mathematics, including the geometry and algebra of linear
                              equations, the mathematics of matrices, and vector spaces. The course provides an
                              important foundation for the mathematical representation of phenomena in the social
                              sciences and physical sciences, as well as for more advanced analysis and algebra
                              courses. Prerequisite: Mathematics 211 or permission of the instructor.",,"Science, Math, and Computing"
84,MATH 221,Vector Calculus,3,MWF 1:35-2:30 PM in FSH-112,Amanda Landi,"This course deals with multivariable calculus and vector analysis. Topics include
                              differentiation of vector functions, multiple integrals, line and surface integrals,
                              vector fields, and the theorems of Stokes and Green. Applications to geometry and
                              physics are considered as time permits.",Mathematics 211 and 220.,"Science, Math, and Computing"
114,MATH 312,Real Analysis,4,MWF 10:05-11:00 AM in CL3-14,Robert Putz,"This course provides a firm foundation for calculus. Topics include a rigorous definition
                              of the real numbers; Cauchy sequences; and definition of limit, along with proofs
                              of the theorems of calculus, sequences of functions, uniform convergence, and continuity.",Mathematics 220 and 221 or permission of the instructor.,"Science, Math, and Computing"
50,MATH 330,Probability Theory,4,MWF 9:00-9:55 AM in CL1-03,Miha Habic,"This course provides the mathematical foundations underlying statistical inference.
                              Topics include random variables, both discrete and continuous; basic sampling theory,
                              including limit theorems; and an introduction to confidence
                              intervals.",Mathematics 221.,"Science, Math, and Computing"
20,MATH 350,Differential Geometry,4,MWF 1:35-2:30 PM in CL1-01,Jack Burkart,"An introduction to the applications of calculus to geometry, this course is the basis
                              for many theoretical physics courses. Topics include an abstract introduction to tangent
                              spaces and differential forms; the Frenet Formulas for moving frames on curves in
                              space; and the rudiments of the theory of surfaces, both embedded and abstract.","Mathematics 220 and 221, or permission of the instructor.","Science, Math, and Computing"
99,MATH 364,Ordinary Differential Equations,4,MWF 2:40-3:35 PM in CL1-04,Kaethe Minden,"This is an introductory course on ordinary differential equations. Topics include
                              first-order equations, second order linear equations, harmonic oscillators, qualitative
                              properties of solutions, power series methods, Laplace transforms, and existence and
                              uniqueness theorems. Both the theory and applications are studied, including several
                              problems of historical importance. Prerequisite: Mathematics 221 or permission of
                              the instructor.",,"Science, Math, and Computing"
166,MUS 117,Chorus,1 p/f,M 7:30-9:00 PM in KLG,Catherine Schane-Lydon,"The rehearsal and reading of works from part-song and choral literature from the Middle
                              Ages to present.  Chorus is open to all students and community members by audition.
                              Previous singing experience and some  music reading ability are desirable preparation.",,Arts
56,MUS 207,Chromatic Harmony,3,WF 10:05-11:30 AM in KLG,Manon Hutton-DeWys,"Chromatic Harmony introduces the use of dissonance in the form of suspension and seventh
                              chords, and chromaticism in the form of secondary harmonies and modulatory progressions.
                              Chromatic harmonies (Neapolitan and augmented sixth chords) and enharmonic relations
                              complete the tonal picture. Short whole pieces from the Baroque period are used as
                              first examples of whole-piece analysis.","Intermediate music-reading
                              ability and permission of the instructor.",Arts
155,MUS 219/319,Jazz Improvisation Workshop I & II,3/4,MW 2:40-4:05 PM in KLG-B,John Myers,"This course develops essential skills in jazz, with particular focus on improvisation.
                              Activities include application of melodic and harmonic concepts to a broad range of
                              standard professional repertoire, harmonic analysis, and possible public performances.
                              Prerequisite: Performing experience, music theory at the level of Musicianship (Music
                              103) or higher, or permission of the instructor.",,Arts
157,MUS 222,Jazz Ensemble,1 p/f,T 7:30-9:00 PM in KLG,John Myers,"The rehearsal and reading of jazz literature from a wide range of styles. Open to
                              all students and community members by audition. Some ability to read music is required.",,Arts
168,MUS 278,Collegium,1 p/f,W 7:00-8:30 PM in KLG,Anne Legene,"The Collegium (early music ensemble) explores early music through playing the viola
                              da gamba. Instruments will be provided.
                              The class offers group instruction for beginner and experienced players. It is open
                              to all who are able to read music notation, and especially recommended for string
                              and guitar players. Music will be drawn from the extensive repertoire of renaissance
                              music for viol consort (group of violas da gamba).  Early registration is encouraged
                              so instruments can be procured. Participation in a final concert as well as regular
                              class attendance is required for receiving credit and a Pass/Fail grade. Students
                              will be expected to practice outside of classes.  This course is generally offered
                              every semester.",,Arts
170,MUS 289,Chamber Orchestra,1 p/f,R 7:00-8:30 PM in KLG,Anne Legene,"The chamber ensemble is engaged in the reading, rehearsal, and performance of classical
                              and modern literature for larger chamber and smaller orchestral ensembles. It is open
                              to students of intermediate to advanced skill on orchestral instruments (strings,
                              woodwind, brass). Individual students may be selected to perform solo concertos with
                              the ensemble.",,Arts
213,MUS 180 P,Applied Music: Trombone,1 p/f,TBD,David Wampler,Private music lessons. Fees apply.,,Arts
214,MUS 181 P,Applied Music: Bassoon,1 p/f,TBD,staff,Private music lessons. Fees apply.,,Arts
215,MUS 182 P,Applied Music: Recorder,1 p/f,TBD,Judith Dansker-DePaolo,Private music lessons. Fees apply.,,Arts
216,MUS 183 P,Applied Music: Harp,1 p/f,TBD,Teresa Mango,Private music lessons. Fees apply.,,Arts
